3.5,34.05
3.85,33.05
3.8,32
4.4,31.9
4.75,31.05
5.65,30.4
6.1,30.75
6.7,30
7.4,30.1
8.15,29.5
8,30.75
7.35,30.85
6.75,31.5
5.95,31.75
6.45,32.35
6,32.8
5.1,32.05
4.8,32.8
4.4,32.65
4.6,33.65
5.15,33.05
5.45,33.6
5.05,34.5
4.65,34.9
4.1,35.45
4.05,34.6
4.2,34.2
5.2,36.3
5.35,35.55
6.05,35.95
5.85,34.8
6.15,33.7
6.6,33.95
7.05,33.7
7.1,32.75
7.65,32.3
7.9,33
8.15,31.95
8.65,31.15
8.85,30.35
9,29.85
9.15,30.7
9.9,29.7
9.95,30.45
9.85,30.95
9.45,31.8
8.8,32.45
8.6,33.55
7.7,34.35
8,34.7
7.25,34.6
6.8,35
7.35,35.5
7.5,36.1
7,36.55
8.2,36
8.05,35.35
8.65,36.55
9.1,36.4
9.1,35.5
8.85,34.55
9.4,35.25
9.5,34.4
9.3,33.5
9.8,33.85
9.65,32.5
10.25,32.3
10.3,33.3
10.5,31.6
10.5,30.6
11.1,30.4
11.45,30.9
11.65,30.7
12.05,30.4
12,31.2
11.35,31.95
11.05,31.65
11.15,32.95
11.7,32.65
12.25,32.25
12.25,32.05
12.7,31.3
12.95,31.95
13.1,32.75
13.2,33.15
12.75,33.1
12.1,33.15
11.75,34.3
10.85,34
11,34.65
10.1,34.8
9.85,35.65
10,36.35
10.75,35.55
11.55,35.8
11.75,35.2
11.75,34.7
12.75,34.95
12.55,34.05
13.05,34.05
13.7,33.25
14.15,33.2
14.7,33.25
15.15,33
15.65,32.95
16.15,32.6
16.75,32.45
17.05,32.65
17.3,32.75
17.2,31.75
17.65,31.7
17.5,31
17.9,31.15
18.05,30.45
18.8,30.05
18.8,30.55
19.3,30.5
19.4,30.25
19.85,29.6
20.55,29.15
20.45,30.25
20.05,30.7
19.9,31
19.65,31.55
18.55,31.5
18.6,32.05
19.1,31.95
18.35,32.6
17.95,32.85
17.45,33.45
17,33.7
17.35,34.25
18.05,34.3
18.4,33.85
18.85,33.05
18.95,33.25
19.15,32.8
19.85,32.3
20,32.8
20.25,31.75
20.75,31.75
21.15,32.1
21.6,31.55
21.3,30.65
21.6,29.95
21.6,29.5
22.05,30.35
22,31.05
22.2,31.55
22.65,30.95
23.1,30.3
23.15,29.6
22.55,29.35
23.85,29.2
24,30.75
24.15,30.95
23.7,31.45
23.15,31.95
22.05,32.55
22.55,32.6
22.25,33.25
21.9,33.65
21.3,33.5
20.75,33.1
20.4,33.8
20,33.85
19.3,34.15
18.85,34.85
18.55,35.3
19.35,35.4
19.75,34.55
20,35.05
19.85,35.95
20.6,36.35
20.55,35.5
20.65,34.45
21.25,34.4
21.05,35
21.3,35.75
21.5,35.05
22.05,34.6
21.75,34.2
21.95,36.25
22.3,35.7
22.9,35.5
23.25,35.85
23.8,36.3
24.1,35.45
23.5,34.9
22.9,34.2
23.3,33.85
23.35,33.25
23.7,32.45
23.9,33.6
23.95,34.25
24.1,34.25
24.7,35.4
25.3,35.15
24.9,34.4
24.85,33.7
24.45,32.25
24.7,32.5
24.45,31.45
25.2,31.55
25,31.05
24.3,30.25
24.8,29.8
25.5,29.6
26.05,29.7
25.5,30.5
26,30.65
26.05,31.25
26.95,31.45
26.9,30.75
27.15,30.65
27.85,31.25
27.75,31.85
28.2,32.7
27.55,33.25
27.1,32.4
26.65,32.15
25.95,32.35
25.5,32.95
26.05,33.85
26.5,33.05
27,33.65
27.35,34.1
27.95,34.2
26.85,34.65
26,35.25
26.15,35.7
25.6,34.4
